x, current_density, J_max, J_min
0.000000000000000000e+00,6.116266523082080841e+10,1.094622867474287109e+11,2.923518477048280640e+11
5.000000000000000000e-01,6.060187641204660034e+10,1.087120189954764404e+11,2.870306563037633667e+11
1.000000000000000000e+00,6.017887931072023773e+10,1.079668936694349365e+11,2.818063176441780396e+11
1.500000000000000000e+00,5.989065934374926758e+10,1.072268755224950409e+11,2.766770688777125244e+11
2.000000000000000000e+00,5.973491811181210327e+10,1.064919295494335480e+11,2.716411792421856384e+11
2.500000000000000000e+00,5.971004593676103210e+10,1.057620209849572144e+11,2.666969494775836792e+11
3.000000000000000000e+00,5.981509594209284973e+10,1.050371153020583954e+11,2.618427112526789551e+11
3.500000000000000000e+00,6.004975966377460480e+10,1.043171782103816986e+11,2.570768266020849915e+11
4.000000000000000000e+00,6.041434247149119568e+10,1.036021756546019592e+11,2.523976873735579834e+11
4.500000000000000000e+00,6.090973937292639923e+10,1.028920738128133698e+11,2.478037146853579407e+11
5.000000000000000000e+00,6.153740934692121124e+10,1.021868390949295044e+11,2.432933583934868469e+11
5.500000000000000000e+00,6.229934740010971069e+10,1.014864381410944977e+11,2.388650965686234436e+11
6.000000000000000000e+00,6.319805296654154968e+10,1.007908378201049652e+11,2.345174349825787964e+11
6.500000000000000000e+00,6.423649308860548401e+10,1.001000052278427582e+11,2.302489066040990601e+11
7.000000000000000000e+00,6.541805856965847778e+10,9.941390768571858215e+10,2.260580711038449097e+11
7.500000000000000000e+00,6.674651102383189392e+10,9.873251273912611389e+10,2.219435143683815918e+11
8.000000000000000000e+00,6.822591847390103149e+10,9.805578815590686035e+10,2.179038480230143738e+11
8.500000000000000000e+00,6.986057687641899109e+10,9.738370192482537842e+10,2.139377089633096313e+11
9.000000000000000000e+00,7.165491470374069214e+10,9.671622225405517578e+10,2.100437588951423340e+11
9.500000000000000000e+00,7.361337751283590698e+10,9.605331756967474365e+10,2.062206838831157532e+11
1.000000000000000000e+01,7.574028931898567200e+10,9.539495651417405701e+10,2.024671939072000122e+11
1.050000000000000000e+01,7.803968761877830505e+10,9.474110794497126770e+10,1.987820224274409790e+11
1.100000000000000000e+01,8.051512913483978271e+10,9.409174093293951416e+10,1.951639259565915527e+11
1.150000000000000000e+01,8.316946386157585144e+10,9.344682476094396973e+10,1.916116836405218506e+11
1.200000000000000000e+01,8.600457586586816406e+10,9.280632892238871765e+10,1.881240968462666321e+11
1.250000000000000000e+01,8.902109063543139648e+10,9.217022311977375793e+10,1.846999887575703125e+11
1.300000000000000000e+01,9.221805066528428650e+10,9.153847726326181030e+10,1.813382039777941589e+11
1.350000000000000000e+01,9.559256350888903809e+10,9.091106146925500488e+10,1.780376081400507202e+11
1.400000000000000000e+01,9.913942973848164368e+10,9.028794605898121643e+10,1.747970875244346008e+11
1.450000000000000000e+01,1.028507621396011353e+11,8.966910155709024048e+10,1.716155486822197876e+11
1.500000000000000000e+01,1.067156118934263458e+11,8.905449869025952148e+10,1.684919180668975525e+11
1.550000000000000000e+01,1.107196222337275238e+11,8.844410838580934143e+10,1.654251416719294739e+11
1.600000000000000000e+01,1.148447347012024384e+11,8.783790177032768250e+10,1.624141846750941467e+11
1.650000000000000000e+01,1.190689770819789429e+11,8.723585016830435181e+10,1.594580310893073120e+11
1.700000000000000000e+01,1.233663646743607635e+11,8.663792510077458191e+10,1.565556834197970276e+11
1.750000000000000000e+01,1.277069468372582855e+11,8.604409828397192383e+10,1.537061623275194397e+11
1.800000000000000000e+01,1.320570279919669952e+11,8.545434162799021912e+10,1.509085062987002258e+11
1.850000000000000000e+01,1.363795856075227814e+11,8.486862723545494080e+10,1.481617713203910217e+11
1.900000000000000000e+01,1.406348974885108948e+11,8.428692740020355225e+10,1.454650305619314880e+11
1.950000000000000000e+01,1.447813749445384521e+11,8.370921460597491455e+10,1.428173740622083130e+11
2.000000000000000000e+01,1.487765823297544250e+11,8.313546152510765076e+10,1.402179084226076660e+11
2.050000000000000000e+01,1.525784034159849243e+11,8.256564101724748230e+10,1.376657565055553589e+11
2.100000000000000000e+01,1.561462975155363770e+11,8.199972612806338501e+10,1.351600571385445557e+11
2.150000000000000000e+01,1.594425737996582642e+11,8.143769008797264099e+10,1.326999648235502472e+11
2.200000000000000000e+01,1.624336039360595398e+11,8.087950631087442017e+10,1.302846494517329407e+11
2.250000000000000000e+01,1.650908927830934753e+11,8.032514839289228821e+10,1.279132960233350677e+11
2.300000000000000000e+01,1.673919351828605347e+11,7.977459011112516785e+10,1.255851043726757355e+11
2.350000000000000000e+01,1.693208032732609863e+11,7.922780542240686035e+10,1.232992888981506500e+11
2.400000000000000000e+01,1.708684312282326050e+11,7.868476846207424927e+10,1.210550782971468201e+11
2.450000000000000000e+01,1.720325899642655334e+11,7.814545354274372864e+10,1.188517153057818604e+11
2.500000000000000000e+01,1.728175697940855103e+11,7.760983515309609985e+10,1.166884564433803711e+11
2.550000000000000000e+01,1.732336102841675415e+11,7.707788795666987610e+10,1.145645717616015167e+11
2.600000000000000000e+01,1.732961342241563416e+11,7.654958679066270447e+10,1.124793445981324005e+11
2.650000000000000000e+01,1.730248487401966248e+11,7.602490666474111938e+10,1.104320713348647919e+11
2.700000000000000000e+01,1.724427805246330872e+11,7.550382275985847473e+10,1.084220611604733582e+11
2.750000000000000000e+01,1.715753059667607422e+11,7.498631042708079529e+10,1.064486358373150635e+11
2.800000000000000000e+01,1.704492278822839355e+11,7.447234518642092896e+10,1.045111294725717010e+11
2.850000000000000000e+01,1.690919383733512268e+11,7.396190272568055725e+10,1.026088882935574951e+11
2.900000000000000000e+01,1.675306935754552307e+11,7.345495889929998779e+10,1.007412704271168060e+11
2.950000000000000000e+01,1.657920154341338196e+11,7.295148972721623230e+10,9.890764568303672791e+10
3.000000000000000000e+01,1.639012224293183594e+11,7.245147139372848511e+10,9.710739534140209961e+10
3.050000000000000000e+01,1.618820847699379883e+11,7.195488024637168884e+10,9.533991194382092285e+10
3.100000000000000000e+01,1.597565928045220947e+11,7.146169279479756165e+10,9.360459908844970703e+10
3.150000000000000000e+01,1.575448239146999512e+11,7.097188570966360474e+10,9.190087122874942017e+10
3.200000000000000000e+01,1.552648914908009338e+11,7.048543582152938843e+10,9.022815347590487671e+10
3.250000000000000000e+01,1.529329630655634766e+11,7.000232011976066589e+10,8.858588140483972168e+10
3.300000000000000000e+01,1.502280136328714294e+11,6.952251575144082642e+10,8.697350086376272583e+10
3.350000000000000000e+01,1.474936638307673645e+11,6.904600002028993225e+10,8.539046778718023682e+10
3.400000000000000000e+01,1.448090842085519714e+11,6.857275038559112549e+10,8.383624801231225586e+10
3.450000000000000000e+01,1.421733661345836182e+11,6.810274446112426758e+10,8.231031709884988403e+10
3.500000000000000000e+01,1.395856229622084351e+11,6.763596001410716248e+10,8.081216015199342346e+10
3.550000000000000000e+01,1.370449788353677979e+11,6.717237496414374542e+10,7.934127164871153259e+10
3.600000000000000000e+01,1.345505790899624634e+11,6.671196738217966461e+10,7.789715526716250610e+10
3.650000000000000000e+01,1.321015794632568817e+11,6.625471548946496582e+10,7.647932371922056580e+10
3.700000000000000000e+01,1.296971561200519104e+11,6.580059765652389526e+10,7.508729858605004883e+10
3.750000000000000000e+01,1.273364952513207550e+11,6.534959240213170624e+10,7.372061015667271423e+10
3.800000000000000000e+01,1.250188027387241058e+11,6.490167839229859924e+10,7.237879726947320557e+10
3.850000000000000000e+01,1.227432941284370575e+11,6.445683443926046753e+10,7.106140715658915710e+10
3.900000000000000000e+01,1.205092039470522461e+11,6.401503950047679901e+10,6.976799529113386536e+10
3.950000000000000000e+01,1.183157760370646362e+11,6.357627267763507843e+10,6.849812523719964600e+10
4.000000000000000000e+01,1.161622725367370300e+11,6.314051321566245270e+10,6.725136850259112549e+10
4.050000000000000000e+01,1.140479645641973114e+11,6.270774050174379730e+10,6.602730439423928070e+10
4.100000000000000000e+01,1.119721408733879089e+11,6.227793406434672546e+10,6.482551987624698639e+10
4.150000000000000000e+01,1.099340988742003021e+11,6.185107357225321960e+10,6.364560943051820374e+10
4.200000000000000000e+01,1.079331529761927032e+11,6.142713883359786224e+10,6.248717491992419434e+10
4.250000000000000000e+01,1.059686259326403961e+11,6.100610979491276550e+10,6.134982545396002197e+10
4.300000000000000000e+01,1.040398568832842255e+11,6.058796654017890167e+10,6.023317725684640503e+10
4.350000000000000000e+01,1.021461930106128693e+11,6.017268928988405609e+10,5.913685353803228760e+10
4.400000000000000000e+01,1.002869972924984741e+11,5.976025840008718109e+10,5.806048436505438995e+10
4.450000000000000000e+01,9.846164045944804382e+10,5.935065436148917389e+10,5.700370653871102142e+10
4.500000000000000000e+01,9.666950846759098816e+10,5.894385779851004791e+10,5.596616347050759888e+10
